ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,ruwe,teff_gspphot,phot_variable_flag,distance_pc,abs_mag,phase,cluster
251.5899766068092,-50.63863518231249,13.398257319108817,0.017849503,13.470652,14.585335,12.419784,2.1655512,12.315269,0.9518871,3730.103,NOT_AVAILABLE,74.63657221852154,9.10589357170738,Main Sequence,0
250.18507947208107,-51.477673785228106,19.588654431566606,0.025484076,6.22464,6.3795276,5.939466,0.44006157,45.4255,0.78245753,7051.192,VARIABLE,51.04995871429158,2.68466302402273,Main Sequence,3
250.77290213984705,-51.59898526057091,10.326265936660176,0.020964341,13.695807,14.8268175,12.635778,2.191039,7.0510607,1.033412,3796.808,NOT_AVAILABLE,96.8404267461109,8.765523527116374,Main Sequence,0
317.39525377167513,67.90857647877061,11.136129400323746,0.017836653,14.756236,16.031088,13.637453,2.3936348,-40.08965,1.1337408,3564.809,NOT_AVAILABLE,89.79780712416365,9.989907343695965,Main Sequence,4
295.13035167754015,70.28624696426813,17.357227526090668,0.010188437,10.476051,11.063625,9.755102,1.3085232,1.0910306,1.0913686,4607.393,VARIABLE,57.61288768594185,6.6734527821176535,Main Sequence,2
285.7749049292963,73.08968610492431,13.956594502853047,0.010604813,12.1617565,13.055846,11.230086,1.8257599,-51.463833,1.1107091,4160.7593,NOT_AVAILABLE,71.65071678449762,7.885653803095574,Main Sequence,0
318.97271004549947,70.29578078926369,16.05686255652588,0.015446334,9.368875,9.766539,8.795651,0.9708872,-21.477211,1.1373439,5467.7925,NOT_AVAILABLE,62.278667235248705,5.397178449576298,Main Sequence,1
294.307921952028,70.7407868110574,18.837466616353865,0.010690792,9.717158,10.162128,9.104878,1.05725,-19.873955,0.8618582,5119.0503,NOT_AVAILABLE,53.08569460884107,6.09227047834638,Main Sequence,2
295.9731132194013,70.42347056545911,11.683016920966365,0.010249449,10.736196,11.2385845,10.083246,1.1553383,-10.075415,0.85294855,4942.0435,VARIABLE,85.594329509649,6.073971028497475,Main Sequence,2
296.0846750714199,70.47654107419189,11.163277990756058,0.013417944,12.887754,13.8166275,11.93621,1.8804178,-9.795232,1.1213944,4088.055,NOT_AVAILABLE,89.57942289245749,8.126712698931343,Main Sequence,0
317.07823907851815,70.07736116260699,12.304543269787498,0.02130334,14.950413,16.341228,13.794496,2.546733,-11.579595,1.0536358,3480.323,NOT_AVAILABLE,81.27079389085445,10.40074048918138,Other,4
285.63663592006975,75.41851051257491,23.857068308325488,0.013329766,12.086019,13.111851,11.080335,2.031516,-19.939575,1.1353968,3422.9568,VARIABLE,41.91629864475118,8.974104370237464,Main Sequence,0
276.73413756432655,71.4143066338065,12.746551982804164,0.012940888,13.216114,14.51862,12.087182,2.4314375,23.198957,1.2746654,3530.4832,NOT_AVAILABLE,78.45258869606917,8.743077607238666,Main Sequence,0
